What algorithm does AWS API Gateway use to manage request throttling?,The token bucket algorithm.
"Which AWS database service is a proprietary, cloud-optimized relational database claiming significant performance improvements over standard MySQL and PostgreSQL?",Amazon Aurora.
What is the main function of Amazon Route 53?,It is a managed Domain Name System (DNS) web service.
"In Route 53, why is it generally preferred to use an ALIAS record over a CNAME record for AWS resources?","ALIAS records are more performant, can be used at the zone apex (root domain), and do not incur additional query charges."
What is the purpose of Amazon ElastiCache?,It provides a managed in-memory cache service (Redis or Memcached) to reduce load on databases and improve application performance.
"Which ElastiCache engine supports persistence, allowing the cache to survive reboots?",Redis.
"In S3, what must you use when uploading an object larger than 5 GB?",Multi-part upload.
What is the main benefit of enabling versioning on an S3 bucket?,It protects against unintended deletes and allows for easy rollback to previous versions of an object.
Which S3 server-side encryption option gives the user control over encryption keys and an audit trail via KMS?,SSE-KMS (Server-Side Encryption with AWS Key Management Service).
Which S3 server-side encryption option requires the customer to manage their own encryption keys and provide them in every HTTP request header?,SSE-C (Server-Side Encryption with Customer-Provided Keys).
What mechanism allows a web application in one domain to request resources from an S3 bucket in another domain?,Cross-Origin Resource Sharing (CORS).
S3 provides read-after-write consistency for _____ of new objects.,PUTS
S3 provides eventual consistency for _____ and _____ of existing objects.,DELETES and PUTS (overwrites)
What is the term for the API retry mechanism that involves waiting for progressively longer intervals between retries to handle rate-limiting errors?,Exponential backoff.
Which AWS database service provides a NoSQL key-value and document database with single-digit millisecond latency?,Amazon DynamoDB.
What is the difference between a DynamoDB Query and a Scan operation?,"A Query finds items using the primary key and is highly efficient, while a Scan examines every item in the table and is less efficient."
What is the default consistency model for reads in DynamoDB?,Eventually consistent reads.
"Amazon SQS (Simple Queue Service) is a _____-based messaging service, where consumers retrieve messages from a queue.",pull
What is the purpose of the Visibility Timeout in Amazon SQS?,It's a period during which SQS prevents other consumers from receiving and processing a message that has already been received by one consumer.
What is the key difference between SQS short polling and long polling?,"Short polling returns a response immediately (even if the queue is empty), while long polling waits until a message arrives or the poll times out."
Amazon SNS (Simple Notification Service) is a _____-based messaging service that sends messages to subscribers of a topic.,push
Which section is the only one that is required in an AWS CloudFormation template?,The Resources section.
What AWS service acts as a Content Delivery Network (CDN) by caching content in edge locations to reduce latency for end users?,Amazon CloudFront.
"In AWS Lambda, what is the maximum execution timeout for a function?",300 seconds (5 minutes).
How can you pass operational parameters to your AWS Lambda function without hardcoding them?,By using AWS Lambda Environment Variables.
"Which AWS service is used for debugging and tracing distributed applications, such as those built with microservices?",AWS X-Ray.
What AWS service provides a fully managed source control service that hosts secure Git-based repositories?,AWS CodeCommit.
What is the purpose of an API Gateway in a serverless architecture?,"It acts as the 'front door' for applications to access backend data or functionality, typically by invoking a Lambda function."
What is the key difference between stateless and stateful applications?,"Stateless applications do not save client data from one session to the next, while stateful applications remember past transactions or user context."
"In the AWS Developer Associate exam scope, what is the primary role of AWS Step Functions?","To coordinate multiple AWS services into serverless workflows, orchestrating a series of steps."
"When developing a Lambda function, what must you configure to allow it to access resources within a VPC, such as an RDS database?","You must configure the Lambda function with VPC-specific information, including subnet IDs and security group IDs."
"To manage sensitive data such as database credentials in your application code securely, which AWS service should be used?",AWS Secrets Manager or AWS Systems Manager Parameter Store.
What AWS service allows you to create and manage infrastructure as code using a declarative template format?,AWS CloudFormation.
What is the difference between encryption at rest and encryption in transit?,"Encryption at rest protects data while it is stored (e.g., on S3 or EBS), while encryption in transit protects data as it moves over a network (e.g., via SSL/TLS)."
Which AWS managed policy principle states that you should grant only the permissions required to perform a task?,The principle of least privilege.
What is the function of the AWS SDK (Software Development Kit)?,It provides language-specific APIs to enable developers to interact with AWS services directly from their application code.
